start,end,text
29.229,30.95, Hello and welcome aboard the Battleship Pretension.
31.01,31.731,I'm Tyler Smith.
31.911,32.631,I'm David Back.
32.691,33.532,And thank you for listening.
33.592,33.912,David.
34.192,34.453,Yes.
34.533,36.374,How you doing?
36.414,39.676,"I'm in a really good mood, actually, other than being sick."
39.956,40.737,Yeah.
42.218,44.96,It's our two hundred and forty ninth episode.
45.12,45.26,Right.
46.44,71.393, even though we've just recorded our two hundred and fiftieth episode yes and you guys are in for a treat no it's gonna be it's always a lot of fun some some guests we've had on a couple times and people who've done our live shows but and it was a sort of raucous like fun it we don't worry we stuck to movies a lot a lot more than I expected
72.841,73.942, We didn't go very in-depth.
74.802,76.143,"No, but we did talk about movies."
78.264,79.864,And so it was a lot of fun.
79.904,86.107,"And so we wanted to do, I guess, for the lead-up to our two hundred and fifty episode, because we feel like it's kind of a milestone."
86.127,89.268,"I mean every fifty, every fifty episodes we treat like a milestone."
89.729,91.93,"But two hundred fifty seems like a, that's a big number."
91.95,92.23,Yeah.
92.25,93.75,"I mean we're halfway done, right?"
95.131,118.853, here's the thing like my first my first instincts like halfway done does that mean we're stopping at five hundred and then I realized like five hundred I hope we're done by then good lord no I would I would do this forever so I am I am I kind of want this to be this episode to be maybe a little more sentimental it may be a little more sentimental yeah because I am feeling kind of sentimental
120.839,130.966," It's funny, I'm thinking of things to say that I already said in episode two fifty, but that I want to... I don't want to... I can't reference them, obviously, because that'll go up next."
132.167,133.447,It's a weird thing about podcasting.
133.467,137.03,"You'd think under two hundred fifty episodes, I'd know how to do it without calling attention to it."
137.21,138.851,"We're through the looking glass, people."
141.553,149.558,"But what I was going to say is that twenty eleven... I still haven't landed on how I'm going to pronounce these years, by the way."
149.718,150.359,It's off-putting.
150.999,151.379, Which one?
153.26,153.82,The whole thing.
153.9,154.16,Okay.
154.18,155.8,Because sometimes I say the year of the mouse.
155.82,160.021,"I think I probably say that more often, but sometimes I say the year of the mouse."
160.181,161.882,I think I say the year of the mouse.
162.462,165.583,"Next year, I think I'm going to bump into the year of the mouse."
165.783,167.583,I'm going to say the year of the mouse.
168.043,171.304,"I don't know why, but the year of the mouse, I haven't picked it yet."
171.924,173.045,"Well, you know, I said the year of the mouse."
173.945,179.191, But I think the fact that eleven starts with a vowel and twenty ends with a vowel is weird.
179.492,180.974,So I like saying two thousand eleven.
180.994,182.936,So I have that hard stop.
183.337,184.458,"Anyway, this is not."
184.918,186.04,That's not what the episode's about.
186.46,186.621,Yeah.
188.911,215.113, twenty eleven has been a really good year for better pretension are are are best year yet but uh... hopefully not our best year uh... ever i think twenty twelve will be even better things are going well for us the uh... that we know we're still looking forward to them going going better but uh... i kinda wanted this to be like you said a little schmaltzy sappy sentimental episode
216.114,240.828, uh... not just about the year but about that that past two hundred and forty nine weeks of our lives uh... and this is very strange because i'll be honest with you it's usually me that kicks this kind of thing off i usually think of myself as the the one that is a bit more uh... sentimental and nostalgic and as you say schmaltzy and that sort of thing and so uh... for you to have uh... suggested this uh... was quite uh...
242.489,243.169," Well, off-putting."
244.129,245.59,"No, that's not true."
246.17,264.774,"It lines up, we really did start really bumping up the website and the written content and having other people and writing reviews and going to screenings and stuff right at the beginning of January."
265.114,267.475,So it's been this year that we've done it.
271.776,300.612, frankly it's when did we when we put the new site into effect though not right away no because the first reviews from when we started getting press screenings went up on the old side so I can't remember when that was if it was February and beam in early March the day around there the the website changed but nevertheless the effort started going in a little early I'm not even figure I was gonna say sorry what was that where was that going
301.311,302.313," What did I, what had I said?"
302.453,303.935,"You said it's been, it's been a year."
303.955,304.576,Mm-hmm.
304.757,305.558,It's been about a year.
305.658,309.564,"Oh yeah, and um, honestly it's, this year has..."
311.229,333.919, reinvigorated me about the about battleship retention not that I was like ready to throw in the towel or anything but there was a time I used to joke about it out during the podcast when I said I'm I am essentially just a personality I just I just would show up once a week and talk just an empty suit and you did most of the work for the podcast yeah
336.6,365.72, and we uh deciding to expand and do the website and stuff has really uh like i said reinvigorated me now you and i both do a lot of work as do um scott and kyle and uh daniel and matt and jack and josh and to some extent jason and charles and uh rudy a couple times uh when he when he deigns to throw something our way um
367.7,387.846, why do you hate Rudy I love Rudy when he condescends to send us something so like I said it's reinvigorated me about the podcast about my worth and maybe even future as a critic
390.498,403.546," I mean, I think there were times more than a year ago when I would sort of, if someone had referred to me as a film critic or like an internet critic because I do this podcast, I would like almost embarrassed, like say, oh no, I'm not a critic."
404.207,411.171,But now I really do think of myself that way because I'm writing reviews every week.
411.211,412.512,I'm seeing movies.
412.592,417.355,I'm probably thinking about movies even more in depth.
418.175,438.736, I mean this is the thing we talked about a few weeks ago just because we graduated film school doesn't mean either of us stopped learning about movies right we're still that's I mean that's part of the fun of doing this podcast is to still be engaged with movies and and to continue our education so again not only am I reinvigorated about battleship retention and about
440.31,441.85, who I am as a thinker about movies.
441.891,443.631,I'm pretty invigorated about movies in general.
446.032,448.352,"I mean, at this time last year, I was probably more into TV."
448.453,453.914,I think I'd said so on the podcast that I was watching more TV than movies.
454.774,457.395,And it's more even now.
457.575,462.197,I still watch a lot of TV because the medium calls for more time because
464.198,465.799, It's a series instead of just two hours.
467.059,471.062,But it's also – I don't mean to put this in any kind of negative way.
