feature_file,label_file,start_time,end_time,label_count
data/features/ac083_2008-04-06_1.npy,data/labels/ac083_2008-04-06_1_label.npy,0.669,7.654,0
data/features/ac083_2008-04-06_10.npy,data/labels/ac083_2008-04-06_10_label.npy,53.432,58.837,0
data/features/ac083_2008-04-06_100.npy,data/labels/ac083_2008-04-06_100_label.npy,567.727,581.897,0
data/features/ac083_2008-04-06_101.npy,data/labels/ac083_2008-04-06_101_label.npy,582.697,585.159,0
data/features/ac083_2008-04-06_102.npy,data/labels/ac083_2008-04-06_102_label.npy,585.78,596.848,0
data/features/ac083_2008-04-06_103.npy,data/labels/ac083_2008-04-06_103_label.npy,597.109,602.973,0
data/features/ac083_2008-04-06_104.npy,data/labels/ac083_2008-04-06_104_label.npy,603.093,605.795,0
data/features/ac083_2008-04-06_105.npy,data/labels/ac083_2008-04-06_105_label.npy,606.836,617.649,0
data/features/ac083_2008-04-06_106.npy,data/labels/ac083_2008-04-06_106_label.npy,618.51,624.257,0
data/features/ac083_2008-04-06_107.npy,data/labels/ac083_2008-04-06_107_label.npy,625.834,637.599,0
data/features/ac083_2008-04-06_108.npy,data/labels/ac083_2008-04-06_108_label.npy,638.06,641.541,0
data/features/ac083_2008-04-06_109.npy,data/labels/ac083_2008-04-06_109_label.npy,641.561,648.744,0
data/features/ac083_2008-04-06_11.npy,data/labels/ac083_2008-04-06_11_label.npy,60.018,64.181,0
data/features/ac083_2008-04-06_110.npy,data/labels/ac083_2008-04-06_110_label.npy,648.804,649.925,0
data/features/ac083_2008-04-06_111.npy,data/labels/ac083_2008-04-06_111_label.npy,651.325,652.886,0
data/features/ac083_2008-04-06_112.npy,data/labels/ac083_2008-04-06_112_label.npy,653.186,654.667,0
data/features/ac083_2008-04-06_113.npy,data/labels/ac083_2008-04-06_113_label.npy,656.511,659.614,0
data/features/ac083_2008-04-06_114.npy,data/labels/ac083_2008-04-06_114_label.npy,660.014,663.597,0
data/features/ac083_2008-04-06_115.npy,data/labels/ac083_2008-04-06_115_label.npy,663.637,664.678,0
data/features/ac083_2008-04-06_116.npy,data/labels/ac083_2008-04-06_116_label.npy,666.099,675.246,0
data/features/ac083_2008-04-06_117.npy,data/labels/ac083_2008-04-06_117_label.npy,676.291,684.416,0
data/features/ac083_2008-04-06_118.npy,data/labels/ac083_2008-04-06_118_label.npy,684.736,686.537,0
data/features/ac083_2008-04-06_119.npy,data/labels/ac083_2008-04-06_119_label.npy,686.618,687.938,0
data/features/ac083_2008-04-06_12.npy,data/labels/ac083_2008-04-06_12_label.npy,64.441,74.69,0
data/features/ac083_2008-04-06_120.npy,data/labels/ac083_2008-04-06_120_label.npy,688.299,692.841,0
data/features/ac083_2008-04-06_121.npy,data/labels/ac083_2008-04-06_121_label.npy,692.901,697.164,0
data/features/ac083_2008-04-06_122.npy,data/labels/ac083_2008-04-06_122_label.npy,697.304,702.447,0
data/features/ac083_2008-04-06_123.npy,data/labels/ac083_2008-04-06_123_label.npy,703.768,704.868,0
data/features/ac083_2008-04-06_124.npy,data/labels/ac083_2008-04-06_124_label.npy,705.169,708.229,0
data/features/ac083_2008-04-06_125.npy,data/labels/ac083_2008-04-06_125_label.npy,708.789,713.011,0
data/features/ac083_2008-04-06_126.npy,data/labels/ac083_2008-04-06_126_label.npy,713.111,716.912,0
data/features/ac083_2008-04-06_127.npy,data/labels/ac083_2008-04-06_127_label.npy,717.332,725.914,0
data/features/ac083_2008-04-06_128.npy,data/labels/ac083_2008-04-06_128_label.npy,726.634,732.176,0
data/features/ac083_2008-04-06_129.npy,data/labels/ac083_2008-04-06_129_label.npy,733.977,735.997,0
data/features/ac083_2008-04-06_13.npy,data/labels/ac083_2008-04-06_13_label.npy,75.464,82.111,0
data/features/ac083_2008-04-06_130.npy,data/labels/ac083_2008-04-06_130_label.npy,736.318,739.519,0
data/features/ac083_2008-04-06_131.npy,data/labels/ac083_2008-04-06_131_label.npy,739.919,747.642,0
data/features/ac083_2008-04-06_132.npy,data/labels/ac083_2008-04-06_132_label.npy,748.543,755.026,0
data/features/ac083_2008-04-06_133.npy,data/labels/ac083_2008-04-06_133_label.npy,755.046,758.487,0
data/features/ac083_2008-04-06_134.npy,data/labels/ac083_2008-04-06_134_label.npy,759.127,759.868,0
data/features/ac083_2008-04-06_135.npy,data/labels/ac083_2008-04-06_135_label.npy,761.008,763.65,0
data/features/ac083_2008-04-06_136.npy,data/labels/ac083_2008-04-06_136_label.npy,764.03,764.171,0
