feature_file,label_file,start_time,end_time,label_list,label_count
data/features/ac083_2008-04-06_0001.npy,,0.669,7.654,[],0
data/features/ac083_2008-04-06_0002.npy,,8.095,12.838,[],0
data/features/ac083_2008-04-06_0003.npy,,23.103,27.147,[],0
data/features/ac083_2008-04-06_0004.npy,,27.687,29.209,[],0
data/features/ac083_2008-04-06_0005.npy,,29.889,36.936,[],0
data/features/ac083_2008-04-06_0006.npy,,37.556,45.804,[],0
data/features/ac083_2008-04-06_0007.npy,,46.044,46.485,[],0
data/features/ac083_2008-04-06_0008.npy,,46.645,47.886,[],0
data/features/ac083_2008-04-06_0009.npy,,48.188,53.132,[],0
data/features/ac083_2008-04-06_0010.npy,,53.432,58.837,[],0
data/features/ac083_2008-04-06_0011.npy,,60.018,64.181,[],0
data/features/ac083_2008-04-06_0012.npy,,64.441,74.69,[],0
data/features/ac083_2008-04-06_0013.npy,,75.464,82.111,[],0
data/features/ac083_2008-04-06_0014.npy,,82.291,86.335,[],0
data/features/ac083_2008-04-06_0015.npy,,87.376,89.778,[],0
data/features/ac083_2008-04-06_0016.npy,,89.798,90.138,[],0
data/features/ac083_2008-04-06_0017.npy,,91.129,94.89,[],0
data/features/ac083_2008-04-06_0018.npy,,95.451,98.532,[],0
data/features/ac083_2008-04-06_0019.npy,,98.612,99.972,[],0
data/features/ac083_2008-04-06_0020.npy,,100.392,101.773,[],0
data/features/ac083_2008-04-06_0021.npy,,101.993,107.975,[],0
data/features/ac083_2008-04-06_0022.npy,,108.455,110.876,[],0
data/features/ac083_2008-04-06_0023.npy,,111.536,117.598,[],0
data/features/ac083_2008-04-06_0024.npy,,120.356,128.841,[],0
data/features/ac083_2008-04-06_0025.npy,,129.481,135.125,[],0
data/features/ac083_2008-04-06_0026.npy,,136.045,137.406,[],0
data/features/ac083_2008-04-06_0027.npy,,137.466,143.651,[],0
data/features/ac083_2008-04-06_0028.npy,,144.051,149.896,[],0
data/features/ac083_2008-04-06_0029.npy,,150.917,160.884,[],0
data/features/ac083_2008-04-06_0030.npy,,161.485,162.926,[],0
data/features/ac083_2008-04-06_0031.npy,,163.271,165.332,[],0
data/features/ac083_2008-04-06_0032.npy,,165.613,175.419,[],0
data/features/ac083_2008-04-06_0033.npy,,176.119,179.441,[],0
data/features/ac083_2008-04-06_0034.npy,,179.521,186.066,[],0
data/features/ac083_2008-04-06_0035.npy,,186.646,192.59,[],0
data/features/ac083_2008-04-06_0036.npy,,193.089,195.79,[],0
data/features/ac083_2008-04-06_0037.npy,,195.95,197.49,[],0
data/features/ac083_2008-04-06_0038.npy,,198.87,208.693,[],0
data/features/ac083_2008-04-06_0039.npy,,209.573,217.755,[],0
data/features/ac083_2008-04-06_0040.npy,,219.452,228.619,[],0
data/features/ac083_2008-04-06_0041.npy,,228.939,229.58,[],0
data/features/ac083_2008-04-06_0042.npy,,229.6,247.713,[],0
data/features/ac083_2008-04-06_0043.npy,,247.95,254.295,[],0
data/features/ac083_2008-04-06_0044.npy,,255.076,259.559,[],0
data/features/ac083_2008-04-06_0045.npy,,259.699,263.522,[],0
data/features/ac083_2008-04-06_0046.npy,,265.163,270.067,[],0
data/features/ac083_2008-04-06_0047.npy,,270.127,274.13,[],0
data/features/ac083_2008-04-06_0048.npy,,275.342,284.589,[],0
data/features/ac083_2008-04-06_0049.npy,,285.33,293.616,[],0
data/features/ac083_2008-04-06_0050.npy,,294.517,303.54,[],0
