start,end,text
5.751,12.573," Astronomy Cast Episode Five for Monday, October, the Big Bang and the Cosmic Microwave Background Radiation."
13.974,21.096,"I'm Fraser Cain, I'm the publisher of Universe Today, and with me as always is Dr. Pamela Gay, a professor with Southern Illinois University, Edwardsville."
21.597,22.397,"Hi Pamela, how you doing?"
22.887,23.487, I'm doing well.
23.548,24.508,"How are you doing, Fraser?"
24.548,24.808,Good.
25.069,26.029,Episode five.
26.229,26.91,We're still going.
27.35,28.211,We're still going.
28.231,30.192,"All right, you're listening to Astronomy Cast."
30.232,33.014,This is our weekly facts-based journey through the cosmos.
33.235,37.478,"Our goal is to help you understand not only what we know, but how we know what we know."
38.138,41.66, You can learn more at our website at astronomycast.com.
41.86,47.263,"You can send us any questions, comments or feedback to info at astronomycast.com."
47.664,52.186,Please subscribe to our RSS feed so you can get the show every week.
52.586,53.567,We put them out every Monday.
54.187,56.569,You can also join the discussion on our forums.
56.589,62.492,"There's a link attached to every story, so if you have any further questions we can help answer, that would be great."
63.333,66.715,"Alright, so last week we talked about dark matter, thanks to popular demand."
67.915,71.697," There was still popular demand for another subject, and that's the Big Bang."
72.458,75.219,So we thought we would tackle it this week.
75.72,76.68,"So what's your plan, Pamela?"
77.181,93.29,"Well, I think a good place to start is at the beginning, or in this case, at the beginning of the universe, and just give a broad overview of what the Big Bang was, what happened, and then we'll come back and look at each of the little details in detail."
93.87,95.471,"All right, let's go."
96.272,100.773," So in the beginning, there was a time zero."
100.793,102.114,And we don't know what happened before.
102.394,103.654,We don't know what triggered it.
104.474,107.395,Those aren't so much questions that science knows how to answer.
107.455,112.416,But we know that there was a time at which everything just sort of sprung out of a singularity.
112.857,121.699,Everything that is everything in our entire universe was at that first moment compressed down to a single point.
123.07,124.893," And when you compress things, they get hot."
125.594,129.38,"And when matter gets hot enough, it becomes pure energy."
130.142,131.464,Matter is just frozen energy.
132.325,136.191,"And at that first moment of the universe, everything was pure energy."
137.134,138.935, and was expanding outwards.
139.395,142.235,"At that first moment, all of the forces were one force."
142.416,146.457,"Gravity, electromagnetism, all of the forces were tied together."
147.477,159.26,"And then a gazillionth of a second, or technically ten to the negative thirty-fifth of a second later, the different forces fell apart and suddenly we did have gravity, we did have electromagnetic force."
160.46,161.981,But everything was still energy.
162.501,165.183, And then quarks began to form and gluons began to form.
166.224,168.045,Matter's just frozen energy.
168.665,175.45,And the most basic of particles are the quarks that combine to form protons and neutrons.
176.51,188.598,"And as the universe continued to expand and cool, we eventually reached a point where we did start to get normal particles, like the protons that we're used to that make up you, me, and the table that you and I are sitting at."
189.699,199.245," But those protons were still really high energy, and it was sort of like being in the center of a star, except the entire universe was like being in the center of a star."
200.005,204.107,"And there were actually nuclear reactions going on, and we had helium forming."
205.348,209.13,And everything continued to expand and cool down.
210.231,216.395,"And eventually, everything cooled off enough that atoms that were neutral could form."
216.415,218.396,We could get neutral hydrogen atoms.
219.631,226.997," And at that point, all the exciting stuff shut off until stars began to form a few hundred thousand years later and galaxies began to form."
227.778,230.72,And that was when the universe started to look like what it's doing today.
230.74,233.282,"And that's a really big, broad overview."
233.503,241.829,"But the basic story is take everything, compress it down really tiny, and then let it go and watch it cool and expand and cool and expand."
242.39,244.411,"Now, what actually drove the expansion?"
244.532,247.474,What's sort of the force that's pushing it outward?
247.967,251.889, I'm not sure force is quite the right way to think of it.
252.709,256.431,It's like the pressure in a can of compressed gas.
256.631,261.773,You remove the walls from the can and the gas in the can expands outwards.
262.393,264.634,But that gas expands out into something.
265.274,267.515,"In this case, the universe just expanded."
268.395,272.497,It wasn't so much expanding into anything as it just expanded.
272.817,276.919,"It was driven in part by the temperatures, but beyond that we can't really"
277.526,288.153, say trying to figure out what drove the expansion is still a problem that we have because the universe is still expanding apart and we're not quite sure what's driving that expansion.
289.234,294.437,"And we're not talking explosion here, we're actually talking like everything in the universe is spreading apart, right?"
295.123,298.145," Yeah, it's a complicated thing to try and imagine."
298.665,306.59,"It's sort of like if you take a piece of graph paper and you put it in the Xerox machine, you can expand it so that the squares get bigger and bigger and bigger."
307.69,309.972,"Now, that's sort of what happened to our early universe."
312.393,315.296, areas between two things got bigger and bigger and bigger.
315.576,319.981,But that piece of graph paper that you're expanding in your Xerox machine has edges.
320.641,325.727,Now imagine that you had some magical Mobius graph paper that had absolutely no edge.
326.687,328.149,And it was expanding outwards.
328.79,336.177,And you have in your mind a weird representation of what that early universe and what our universe today continues to be this
336.79,343.558, expanding geometry that has no edge and it's not so much expanding into anything as it's just expanding.
343.718,358.134,And so our galaxy might be along one of the lines of that graph paper expanding and then maybe our nearby galaxy is on one of those other lines of the graph paper and so that's why we see it going away from us just because the squares are just getting bigger and bigger.
359.216,359.816, Exactly.
359.936,364.097,"The stuff that's gravitationally bound together, it's not going to change in size."
364.378,370.019,So our galaxy is one giant gravitationally bound thing.
