start,end,text
5.342,8.945," Astronomy Cast, Episode Three, Hot Jupiters and Pulsar Planets."
10.026,12.127,Welcome to this week's episode of Astronomy Cast.
12.167,15.069,My name is Fraser Cain and I'm the publisher of Universe Today.
15.79,17.851,With me again is Dr. Pamela Gay.
17.971,22.355,"She's in the physics department at Southern Illinois University, or SUI."
24.576,26.418,They prefer to be S-I-U-E.
26.718,27.498,Isn't it SUI?
27.518,28.099,Not SUI.
28.763,30.103, Suey's calling a pig.
30.263,30.664,"Oh, okay."
31.024,31.304,All right.
31.984,34.685,"Well, thanks to everyone who's been listening to us so far."
34.705,36.845,We're now made it all the way to episode three.
36.885,40.846,I think that's sort of like the half-life for podcast now.
40.886,43.347,"If you can make it past three, you're here for the long haul."
43.707,44.648,And weekly too.
45.188,46.148,So I think that's really good.
46.988,49.249," We've been getting lots of emails, which has been great."
49.869,53.89,"It is our energy, lets us move on from week to week."
53.95,60.372,"So if you have any comments or questions, feedback, good and bad, pass it along."
60.572,64.393,You can reach us at info at astronomycast.com.
65.593,72.355,"And you can also talk about the show on the Bad Astronomy Universe Today forum, which is at bautforum.com."
75.116,83.78," And if you do like what you hear, please, please, we beg you, subscribe to the show using your podcatching software."
84.44,84.881,You can do that.
85.001,86.521,The most common one is iTunes.
86.722,89.763,"And you can actually, we're now in the iTunes system."
89.783,92.064,A lot of people are complaining that they couldn't find us in iTunes.
92.144,97.627,"But now, I think Pamela's nagged them enough times, we were able to get into the system."
97.687,103.19,"So you can do a search just in iTunes for AstronomyCast, and we should turn up pretty quick."
103.59,106.932, We're also on the science and medicine section.
106.993,113.377,"I think here in Canada, we're thirteenth on the science and medicine and we're in the US."
113.937,116.799,"Over in the United States, we're hiding out at number ten."
116.979,117.38,Perfect.
117.84,122.904,"So the more of you who subscribe in iTunes, the longer and higher we'll go in that list."
123.284,125.525,Makes it easier to find and easier to stay.
125.585,131.329,"So please, if you get the chance, if you haven't already, subscribe to the show in iTunes."
132.49,136.292," And last week I asked you to tell all your friends, this week we want more."
136.712,143.495,"So, you know, blog about us or put a permanent link to the show in your blog role and that would be great."
143.675,144.975,We'd really appreciate it.
145.796,149.297,"So, and now on to what we're going to talk about this week."
149.97,159.279," Last week we talked about the various ways that astronomers have been finding extrasolar planets, using the different kinds of techniques."
159.659,163.683,And this week we wanted to talk about the actual kinds of planets that have been discovered.
163.743,172.892,"Because back in the day, astronomers were expecting that the kinds of solar systems that they would be finding would be very similar to the solar system that we live in."
173.332,174.734,And that hasn't been the case.
175.62,190.619," No, it's actually one of these things where, as strange as this may sound, our modern solar system formation model dates all the way back to the seventeen fifty-five and Immanuel Kant, who came up with the nebular hypothesis."
191.68,214.062," And up until fairly recently, with modifications over time, everyone said, okay, to form a solar system, you take a giant cloud of gas, disturb it somehow, say a nearby supernova goes off and nudges it, it begins to collapse, it begins to spin, you end up with a flattened dust disk in which planets form."
214.842,222.065," The dust disk is warmest near the star, and that's where the rocky planets form because all the gases are getting evaporated out there."
223.005,226.506,"And once you get past a certain distance, there's what's called a frost line."
226.886,230.007,"And past that line, you're able to get the gaseous planets."
230.927,235.209,"And so we had this very distinct, theory-based,"
237.04,242.29, using tests of our own solar system model for what we thought solar system should look like.
242.45,248.641,"You have a star, you have rocky planets on the inside, you have gaseous planets on the outside, and we keep all the"
249.304,252.105, chunks of ice out in the outermost parts of the solar system.
253.366,258.988,"But then we started finding planets around other stars, and they don't match our model necessarily."
259.028,269.933,"So we've been working to modify that model to account for the hot Jupiters that are being found near stars, to account for the fact that there's planets around pulsars."
270.554,273.335,So what kinds of planets have been turned up so far?
273.834,283.58," Well, the very first planet around another star was actually found in the year of a pulsar by Alexander Walson."
284.321,294.127,"He's a radio astronomer at Penn State University, and he was measuring the timings of pulses coming from a very fast-spinning neutron star."
294.808,298.931,And he found that the pulses weren't in perfect rhythm with one another.
299.531,304.936," Instead, sometimes they seem to arrive a little bit too early and sometimes they seem to arrive a little bit too late."
305.656,318.848,And this implied that something was causing the pulsar's distance from us to very slightly change so that the pulsar was sometimes a little bit further away and those pulses had to travel further to get to us and were thus slowed down.
318.928,321.39,And sometimes the pulsar was a little bit closer.
323.476,332.119, The only way to explain this type of a little tiny motion in the pulsar was to say there had to be a planet there that was yanking the pulsar around.
332.739,340.161,"Since then, we've continued to find pulsars, well, yes, we've continued to find pulsars, but we've continued to find planets around pulsars."
340.361,349.464,"In fact, fairly recently, a miniature system was again found by Alex Woltson in which there are four different planets"
350.184,365.814," seem to form a half-size solar system model where you have planets that are scaled down with spacings proportional to Mercury, Venus, and Earth, and then there's another planet out in the outer edges of this pulsar solar system."
366.395,367.615,So we're still finding these.
367.976,373.219,"Now when you say, when they say planet, they must be using the term pretty loosely here."
373.686,375.888," Well, these are little tiny chunks."
377.009,383.396,We can't say if they specifically meet all of the criteria set down by the IEU.
383.416,386.559,We don't know if there's even smaller chunks of stuff in the orbits they're in.
387.1,388.741,"But these little tiny, highly"
389.722,392.784, rocky things going around this pulsar.
393.165,401.25,They weren't formed out of the original gas and dust that the star that eventually compressed down to the neutron star formed out of.
401.951,410.057,But rather we think they formed out of the gas and dust that was expelled by the supernova that formed the pulsar.
411.118,414.32,"So basically you start out, you have giant star."
414.64,418.383,Giant star hits a critical point in its lifespan.
418.903,423.407, It can no longer generate its own energy so it explodes as a supernova.
424.228,439.401,When it explodes as a supernova it spews the outer layers of the star out all around and it appears that some of this gas and dust that is spewed out from the supernova coalesces into pulsar planets.
440.422,454.452," Now, after the atmosphere has been spewed off, the core of that star collapses down and forms a neutron star, a star that is so dense that the protons and the electrons can no longer stay separate, and they actually coalesce into neutrons."
455.033,459.216,So you have this highly compact object that is spinning super fast.
459.956,463.639,"And around it, the remnants of the former star form new worlds."
464.059,464.82,"Right, right."
465.42,467.522,Not exactly like you find in our solar system.
468.078,472.739," No, but then a few years later, people actually started turning up what we might consider to be real planets."
472.979,473.519,Exactly.
473.999,488.903,"In uh, nineteen ninety five, a Swiss team led by Michael Mayor and Daidler Kalos of Geneva announced that they'd found a rapidly orbiting planet going around the bright nearby star fifty one Pegasus."
489.563,492.784,This wasn't like anything anyone ever expected to find.
492.804,492.844,It
493.644,501.109," was a planet similar to Jupiter in mass, but with an orbit that was smaller than Mercury's."
501.249,505.813,And this was not something anyone had expected to ever find.
506.153,515.72,"And suddenly all of our solar system formations had to account for, how do you get planets to basically be on top of their stars when they're gaseous planets?"
516.58,516.74, Right.
516.8,527.925,"Astronomers were expecting it was going to be rocks, and then rocky planets like Earth, and then gaseous planets, and then ice planets, all nice and calm, but no."
528.345,532.907,"Everything lined up politely, ordered by type and distance from the sun."
533.007,537.789,"And no, not what the universe doesn't like to do what we expect."
