file,label,start,end
/ac/ac083_2008-04-06.mp3,Lexical Substitution,330.732,331.73199999999997
/ac/ac083_2008-04-06.mp3,Phonological Substitution,1553.299,1554.019
/ac/ac083_2008-04-06.mp3,Phonological Addition,1519.2269999999999,1520.367
/ac/ac083_2008-04-06.mp3,Phonological Addition,1641.892,1642.972
/ac/ac084_2008-04-13.mp3,Phonological Addition,595.779,597.2990000000001
/ac/ac084_2008-04-13.mp3,Phonological Substitution,1129.1109999999999,1129.5510000000002
/ac/ac084_2008-04-13.mp3,Lexical Substitution,1146.542,1147.2630000000001
/ac/ac084_2008-04-13.mp3,Phonological Substitution,1630.7939999999999,1631.194
/ac/ac084_2008-04-13.mp3,Phonological Substitution,1667.411,1668.191
/ac/ac084_2008-04-13.mp3,Lexical Substitution,1822.474,1823.194
/ac/ac085_2008-04-20.mp3,Phonological Substitution,89.067,89.827
/ac/ac085_2008-04-20.mp3,Phonological Substitution,890.882,891.282
/ac/ac085_2008-04-20.mp3,Lexical Substitution,950.242,951.8230000000001
/ac/ac085_2008-04-20.mp3,Phonological Deletion,1638.443,1638.943
/ac/ac085_2008-04-20.mp3,Phonological Substitution,383.77500000000003,384.875
/ac/ac085_2008-04-20.mp3,Phonological Substitution,964.7049999999999,965.6650000000001
/bp/bp249_2011-12-25.mp3,Phonological Substitution,1613.7549999999999,1615.756
/bp/bp249_2011-12-25.mp3,Phonological Substitution,3662.6670000000004,3663.5069999999996
/bp/bp249_2011-12-25.mp3,Phonological Substitution,3783.567,3784.0069999999996
/bp/bp251_2012-01-08.mp3,Phonological Substitution,917.785,918.585
/bp/bp251_2012-01-08.mp3,Phonological Addition,1231.07,1231.49
/bp/bp251_2012-01-08.mp3,Phonological Substitution,4563.394,4564.214
/bp/bp251_2012-01-08.mp3,Phonological Substitution,4693.893,4694.293
/bp/bp252_2012-01-15.mp3,Phonological Substitution,1247.011,1247.872
/bp/bp252_2012-01-15.mp3,Phonological Deletion,2915.215,2916.176
/bp/bp252_2012-01-15.mp3,Phonological Deletion,2977.9550000000004,2978.355
/bp/bp252_2012-01-15.mp3,Word Deletion,3006.704,3005.6639999999998
/bp/bp252_2012-01-15.mp3,Phonological Substitution,3154.674,3155.5339999999997
/bp/bp252_2012-01-15.mp3,Phonological Substitution,3619.405,3619.865
/bp/bp252_2012-01-15.mp3,Lexical Substitution,3838.0,3838.3999999999996
/bp/bp252_2012-01-15.mp3,Lexical Substitution,4483.078,4484.218
/gb/gb024_2013-07-16.mp3,Phonological Deletion,402.105,402.925
/gb/gb024_2013-07-16.mp3,Phonological Substitution,294.115,294.515
/gb/gb024_2013-07-16.mp3,Lexical Substitution,360.58500000000004,360.985
/gb/gb024_2013-07-16.mp3,Phonological Substitution,459.535,460.476
/gb/gb025_2013-07-23.mp3,Lexical Substitution,644.8009999999999,646.2610000000001
/gb/gb025_2013-07-23.mp3,Phonological Substitution,696.755,697.575
/gb/gb025_2013-07-23.mp3,Lexical Substitution,1510.781,1511.961
/gb/gb025_2013-07-23.mp3,Phonological Addition,3160.708,3161.1079999999997
/gb/gb025_2013-07-23.mp3,Lexical Substitution,3485.5370000000003,3486.017
/gb/gb025_2013-07-23.mp3,Lexical Substitution,4459.848,4461.709
/gb/gb025_2013-07-23.mp3,Lexical Substitution,3460.579,3461.1789999999996
/gb/gb025_2013-07-23.mp3,Phonological Substitution,4444.076,4444.977
/gb/gb027_2013-08-06.mp3,Phonological Substitution,636.3489999999999,637.13
/gb/gb027_2013-08-06.mp3,Phonological Substitution,1948.442,1948.862
/gb/gb027_2013-08-06.mp3,Lexical Substitution,3666.987,3667.4269999999997
/gb/gb027_2013-08-06.mp3,Phonological Substitution,572.572,573.9720000000001
/gb/gb027_2013-08-06.mp3,Phonological Deletion,596.323,597.404
/gb/gb027_2013-08-06.mp3,Phonological Substitution,632.6859999999999,633.1260000000001
/gb/gb027_2013-08-06.mp3,Phonological Substitution,2266.253,2267.2929999999997
/gb/gb027_2013-08-06.mp3,Phonological Deletion,2602.7980000000002,2603.198
/gb/gb027_2013-08-06.mp3,Phonological Deletion,2766.6530000000002,2767.2729999999997
/gb/gb027_2013-08-06.mp3,Lexical Substitution,3490.547,3491.167
/gb/gb031_2013-09-04.mp3,Word Deletion,18.152,18.552
/gb/gb031_2013-09-04.mp3,Phonological Substitution,1494.781,1496.181
/gb/gb032_2013-09-10.mp3,Phonological Substitution,101.461,102.281
/gb/gb032_2013-09-10.mp3,Phonological Deletion,592.2149999999999,592.6750000000001
/gb/gb032_2013-09-10.mp3,Phonological Substitution,1509.05,1510.45
/gb/gb032_2013-09-10.mp3,Lexical Substitution,1849.155,1849.836
/gb/gb032_2013-09-10.mp3,Phonological Deletion,2813.4320000000002,2813.832
/gb/gb032_2013-09-10.mp3,Phonological Substitution,2171.1670000000004,2172.567
/gb/gb034_2013-09-24.mp3,Lexical Substitution,1398.232,1398.632
/gb/gb034_2013-09-24.mp3,Lexical Substitution,1754.638,1755.098
/gb/gb034_2013-09-24.mp3,Phonological Substitution,2272.224,2272.624
/gb/gb034_2013-09-24.mp3,Phonological Substitution,1054.22,1055.001
/gb/gb034_2013-09-24.mp3,Phonological Substitution,1209.85,1210.51
/gb/gb037_2013-10-15.mp3,Phonological Substitution,876.3359999999999,877.736
/gb/gb037_2013-10-15.mp3,Phonological Substitution,1078.075,1078.695
/gb/gb037_2013-10-15.mp3,Phonological Addition,1089.924,1090.604
/gb/gb037_2013-10-15.mp3,Lexical Substitution,1123.338,1123.738
/gb/gb037_2013-10-15.mp3,Phonological Substitution,1352.8,1353.2
/gb/gb045_2013-12-10.mp3,Lexical Substitution,2878.5730000000003,2878.973
/gb/gb045_2013-12-10.mp3,Phonological Substitution,2977.2830000000004,2981.024
/gb/gb045_2013-12-10.mp3,Lexical Substitution,3556.222,3556.622
/gb/gb045_2013-12-10.mp3,Phonological Substitution,1329.107,1329.647
/gb/gb045_2013-12-10.mp3,Phonological Substitution,2420.7780000000002,2421.738
/gb/gb048_2013-12-31.mp3,Lexical Substitution,1645.936,1646.837
/gb/gb048_2013-12-31.mp3,Lexical Substitution,1673.864,1675.525
/gb/gb048_2013-12-31.mp3,Phonological Substitution,1682.389,1682.8690000000001
/gb/gb048_2013-12-31.mp3,Phonological Substitution,2672.322,2672.7819999999997
/gb/gb048_2013-12-31.mp3,Lexical Substitution,3048.9860000000003,3049.466
/gb/gb048_2013-12-31.mp3,Lexical Substitution,3620.699,3621.0989999999997
/gb/gb051_2014-01-21.mp3,Lexical Substitution,202.276,202.916
/gb/gb051_2014-01-21.mp3,Word Deletion,280.696,280.536
/gb/gb051_2014-01-21.mp3,Phonological Substitution,332.274,332.99399999999997
/gb/gb051_2014-01-21.mp3,Phonological Substitution,361.997,362.85699999999997
/gb/gb051_2014-01-21.mp3,Phonological Substitution,499.533,499.933
/gb/gb051_2014-01-21.mp3,Word Deletion,685.151,685.551
/gb/gb051_2014-01-21.mp3,Phonological Substitution,741.491,742.291
/gb/gb051_2014-01-21.mp3,Phonological Addition,829.846,830.486
/gb/gb051_2014-01-21.mp3,Phonological Substitution,1109.943,1110.7830000000001
/gb/gb051_2014-01-21.mp3,Lexical Substitution,1178.29,1179.491
/gb/gb051_2014-01-21.mp3,Phonological Addition,1415.9579999999999,1417.358
/gb/gb051_2014-01-21.mp3,Phonological Deletion,2069.603,2070.303
/gb/gb051_2014-01-21.mp3,Phonological Deletion,2829.2450000000003,2829.9849999999997
/gb/gb051_2014-01-21.mp3,Phonological Substitution,4023.313,4023.7129999999997
/gb/gb052_2014-01-28.mp3,Phonological Substitution,456.59000000000003,456.99
/gb/gb052_2014-01-28.mp3,Lexical Substitution,3708.697,3709.538
/gb/gb052_2014-01-28.mp3,Phonological Addition,3712.9010000000003,3713.321
/gb/gb053_2014-02-04.mp3,Word Deletion,789.63,790.0500000000001
/gb/gb053_2014-02-04.mp3,Phonological Deletion,1781.33,1781.89
/gb/gb053_2014-02-04.mp3,Phonological Substitution,1875.166,1876.566
/gb/gb053_2014-02-04.mp3,Phonological Substitution,2628.6510000000003,2629.211
/gb/gb056_2014-02-25.mp3,Lexical Substitution,223.804,225.20399999999998
/gb/gb056_2014-02-25.mp3,Phonological Substitution,1077.4569999999999,1077.877
/gb/gb056_2014-02-25.mp3,Lexical Substitution,2044.353,2045.193
/gb/gb056_2014-02-25.mp3,Phonological Substitution,2617.251,2618.212
/gb/gb056_2014-02-25.mp3,Word Deletion,3077.289,3077.689
/gb/gb056_2014-02-25.mp3,Phonological Addition,3116.3450000000003,3117.406
/gb/gb056_2014-02-25.mp3,Phonological Substitution,4126.153,4126.553
/gb/gb056_2014-02-25.mp3,Lexical Substitution,4185.793000000001,4186.193
/gb/gb057_2014-03-04.mp3,Phonological Substitution,63.944,64.625
/gb/gb057_2014-03-04.mp3,Phonological Substitution,2176.8,2177.2
/gb/gb057_2014-03-04.mp3,Lexical Substitution,2581.099,2583.499
/gb/gb057_2014-03-04.mp3,Lexical Substitution,2777.069,2777.4689999999996
/gb/gb057_2014-03-04.mp3,Phonological Substitution,2946.808,2947.528
/gb/gb057_2014-03-04.mp3,Lexical Substitution,3923.2400000000002,3923.9199999999996
/gb/gb057_2014-03-04.mp3,Phonological Addition,2721.112,2722.5119999999997
/gb/gb058_2014-03-11.mp3,Phonological Substitution,225.988,226.38799999999998
/gb/gb058_2014-03-11.mp3,Word Deletion,1413.345,1413.7450000000001
/gb/gb058_2014-03-11.mp3,Lexical Substitution,2449.3740000000003,2449.774
/gb/gb058_2014-03-11.mp3,Phonological Substitution,2459.1620000000003,2459.7419999999997
/gb/gb058_2014-03-11.mp3,Lexical Substitution,4112.58,4113.641
/gb/gb058_2014-03-11.mp3,Lexical Substitution,103.62599999999999,104.026
/gb/gb058_2014-03-11.mp3,Phonological Deletion,2873.8410000000003,2875.241
/gb/gb058_2014-03-11.mp3,Phonological Substitution,4986.656,4987.416
/gb/gb059_2014-03-18.mp3,Phonological Substitution,347.535,349.935
/gb/gb059_2014-03-18.mp3,Phonological Substitution,843.4609999999999,843.861
/gb/gb059_2014-03-18.mp3,Word Deletion,1539.152,1539.612
/gb/gb059_2014-03-18.mp3,Phonological Substitution,2123.846,2124.2459999999996
