start,end,text
0.669,7.654," This episode of Astronomy Cast is brought to you by Swinburne Astronomy Online, the world's longest running online astronomy degree program."
8.095,12.838,Visit astronomy.swin.edu.au for more information.
23.103,27.147," AstronomyCast, Eighty-three for Monday, April seventh, two thousand eight."
27.687,29.209,Wave-particle duality.
29.889,36.936,"Welcome to AstronomyCast, our weekly fact-based journey through the cosmos, where we help you understand not only what we know, but how we know what we know."
37.556,45.804,"My name is Fraser Cain, I'm the publisher of Universe Today, and with me is Dr. Pamela Gay, a professor at Southern Illinois University, Edwardsville."
46.044,46.485,Hi Pamela.
46.645,47.886,"Hey Fraser, how's it going?"
48.188,53.132," Good, so you're going to be off on another trip shortly, another astronomy conference?"
53.432,58.837,"Well, the reality of it is, by the time people are listening to this, I'm going to be in Munich, Germany."
60.018,64.181,"And come Friday, I'm going to be in Cambridge, England."
64.441,74.69,"And in fact, if any of you are interested in going to a pub with me, I will be at a pub in Cambridge and the exact pub will be listed on the Bout Forum and on starstrider.com."
75.464,82.111," Okay, once again, I wish I could make it, but it's kind of expensive to fly to Germany."
82.291,86.335,"Okay, so this week, it's going to be another rough one."
87.376,89.778,But I think we've been putting off this side of science.
89.798,90.138,So let's go.
91.129,94.89, Now have you ever heard that light behaves like both a particle and a wave?
95.451,98.532,That is the crazy dual nature of light.
98.612,99.972,But what does that really mean?
100.392,101.773,How did scientists figure it out?
101.993,107.975,Today we're going to get into it and try and explain one of the most complicated and non-intuitive concepts in science.
108.455,110.876,Get ready for a little lesson in quantum physics.
111.536,117.598,"Alright, so can you explain how does light behave like a wave and how does it behave like a particle?"
120.356,128.841," Well, if you hit something with a photon of light, it will move just like if you hit it with a soccer ball or something like that."
129.481,135.125,So this whole idea that you can hit something and it bounces and it moves just like you'd hit it with a particle.
136.045,137.406, is the particle nature of light.
137.466,143.651,"Right, and that's the action that is keeping stars ballooning out."
144.051,149.896,The photons are bumping against each other and trying to get out of the star and that's what keeps the star up.
150.917,160.884,"That's how solar sails work, where you take the sail and put it into space and just the pressure of the photons bouncing into it will move the sail through space."
161.485,162.926,Are there any other examples where we use this?
163.271,165.332, Well you can use it for imaging in fact.
165.613,175.419,You can't see something except for the fact that photons are coming from some light in the room and bouncing off of whatever you're looking at and then going into your eye.
176.119,179.441,"So just that little thing, the fact that eyeglasses work."
179.521,186.066,"You can explain the way that light reflects, the way that light refracts, the way rainbows are formed."
186.646,192.59,All of this is explained and in fact was initially explained by Newton through the particle idea of light.
193.089,195.79," All right, so then how is light like a wave?"
195.95,197.49,Now here's where things get screwy.
198.87,208.693,"If you take a golf ball and you hit it the exact same way a thousand times, the exact, exact same way in a no wind environment, it will always fly the exact same way."
209.573,217.755,"Well, if you take a thousand photons and you fling them through a slit a thousand times, they're going to go all over the place."
219.452,228.619, And the pattern that they're going to end up forming on the other side of the slit is the pattern that you would get from waves going through a slit.
228.939,229.58,"Right, I've seen this."
229.6,247.713,"You have like a seawall and your waves are bumping up against the seawall and there's a hole in the seawall and where the wave hits the hole, then you get another little wave that comes out the other side of the hole and continues to propagate through the water."
247.95,254.295, And what's really cool is you can have a perfectly straight wave front hitting this wall.
255.076,259.559,And the wave that comes out on the other side of the slit is round.
259.699,263.522,So you end up with these round wave fronts radiating away.
265.163,270.067,Even an individual photon will still make that shape?
270.127,274.13,"Well, not only that, but if you have two slits,"
275.342,284.589," Just like with two slits in a wave wall, you end up with interfering waves, where in some places the waves get especially big and in some places they get especially small."
285.33,293.616,"With light, when you have two waves that are interfering, you can end up with places where you see no light, where the light seems to cancel itself out."
294.517,303.54, And you end up with other places where the light seems to be especially bright and you get this interference pattern with only one photon going through at a time.
303.62,308.122,So how does one photon at a time manage to interfere with itself?
308.822,309.622,"Oh, hold on a second."
310.163,310.983,One photon
313.163,314.224, interferes with itself?
314.244,314.924,I don't understand.
314.944,315.484,No one does.
315.784,316.965,"Okay, but then what do you see?"
317.045,323.288,"I mean, how can you, like, what's the experiment to make one photon interfere with itself?"
323.428,326.209,So the experiment is actually kind of simple to set up.
326.609,329.471,You just need to have a very precise light source.
330.211,332.833," You can do this with a set of razor blades, in fact."
333.373,342.38,You take four razor blades and you very carefully set them up so that you end up with two razor-edged slits that the light can go through.
342.76,345.122,Then you set up a screen on the far side of the room.
345.882,356.67,"Or if you want to do this with one photo at a time, which you can't see with your eyeball, you put a detector there, a CCD, something that will detect light."
357.973,370.876, And then you take a laser and you put so many filters in front of it that all that's getting through from that laser to hit that set of razor blades is one photon at a time.
371.536,385.3,"When you do this, the one photon goes out, goes through the slits, hits the detector on the other side, and ends up leaving a single point of light on the detector."
385.64,386.1,No big deal.
387.967,397.894," But if you let a second photon through, and a third photon through, and a few thousand photons through, it will build up a pattern of interfering waves."
398.034,407.681,It's in fact the exact same pattern that you get if you allow a few thousand photons to go through those two slits all at the same time and you can see the light and dark pattern with your eyeballs.
408.301,410.503,"And so if you only had the one photon,"
411.852,415.295, it would actually be creating an interference pattern.
415.315,419.378,You just can't see the whole pattern yet because you've only pushed one photon through.
419.398,421.2,But the pattern is essentially there.
421.72,427.024,"And what's happening is when we detect that photon, it decides where it's going to be."
427.625,433.81,"Its wave function collapses, its probability collapses and it picks a place and that's the place it lands."
435.68,440.862," But different photons have a, they all have the same set of probabilities."
440.942,442.463,It's most likely it'll end up here.
442.523,444.184,It's least likely it'll end up here.
445.244,450.306,"And just like if you roll a dice enough times, you end up getting all the different numbers on the die."
450.346,453.808,"If you send enough photons through, you end up building up the full pattern."
454.548,458.11,"But when you send them through one at a time, they each land where they land."
458.85,465.053,And the full pattern of all of them going through over time builds up this interference pattern.
465.615,476.078," And so does that mean that each individual photon, because they're building up that interference pattern, each photon is going through both slits at the same time?"
477.479,480.419,This is where it gets philosophically confusing.
481.48,492.083,You could either say there is a statistical probability that the photon is going to go through in all these different ways and the photon goes through in one of them.
493.331,503.398," Or you could say that the wave is passing through both slits, interfering, and the wave function is collapsing in a specific location on the screen."
505.94,514.826,"So you can look at it either statistically as it's just picking a place and going through there, just like you're rolling the die, and you can't get one through six all at the same time."
514.926,515.586,It picks one.
516.627,520.67,"Or you could say that when the observation is made, the wave function collapses and you have a detection."
521.317,531.984," Right, but aren't there ways that you can like split up the photon or block the photon from going through one of the slits and you can kind of get a better sense of what's actually… that impossible things seem to be happening?"
533.205,534.646,"No, that's the weird thing."
535.746,539.429,There are some really cool experiments that have been done with this.
540.389,545.833,"So if you block one of the slits, you get a completely different pattern for where the photons land."
547.665,548.947, So that's one cool thing.
549.087,553.755,You have to have both slits there in order for the photons to build up this distribution.
553.775,553.895,Right.
553.915,559.445,You just don't get the interference pattern until you have you have both slits there.
560.667,560.847,Right.
562.023,567.006," Now, I saw the coolest demo a few years ago."
567.727,581.897,"So one of the neat things about this is if you have two slits and you shine a laser through them, you can actually see on the wall a diffraction pattern of bright spots."
582.697,585.159," separated out, scattered across the wall."
585.78,596.848,"Now, if you put a lens in front of the slits, instead of getting this diffraction pattern, you can actually focus the two slits and get an image of the slits on the wall."
597.109,602.973,This is one way that we say the lens forces the light to behave like particles instead of like waves.
603.093,605.795,This is where we get into the whole it's both argument.
606.836,617.649," The slits make the photons interact with each other or perhaps with themselves and build a diffraction pattern, an interference pattern on the wall."
618.51,624.257,The lenses force them to work like particles and you end up getting images as a slit on the wall.
625.834,637.599," Now, if before you put the lens in, you very carefully take a grid of wires and you arrange the grids so that the wires are in the dark points on the diffraction pattern."
638.06,641.541,"Then when you're looking at your screen, all you're seeing is the diffraction pattern."
641.561,648.744,"And when you're looking at your experiment, you're seeing laser shining on two slits, shining, and then this grid of wires that appears to do absolutely nothing."
648.804,649.925,It's just hanging out there.
651.325,652.886,And then you see the pretty diffraction pattern.
653.186,654.667,"Now, if you put that lens back in,"
656.511,659.614, you just see these focused two slits.
660.014,663.597,The wires in the experiment seem to have absolutely no effect on anything.
663.637,664.678,You don't see them at all.
666.099,675.246,"Now, if you cover one of the two slits and the wires aren't there, then the lens causes you to just see one image of one of the slits."
676.291,684.416," But with the wires there, when you cover up one of the slits and you get rid of the interference, all of a sudden you can see the wires in the light."
684.736,686.537,It's the creepiest thing ever to watch.
686.618,687.938,There are videos of this.
688.299,692.841,"There's a man in New England, his last name's Afshar, who's been doing this experiment."
692.901,697.164,And no one's quite sure they understand his interpretation of the experiment.
697.304,702.447,But what it's showing is a photon is simultaneously a wave and a particle.
703.768,704.868, And it's just cool.
705.169,708.229,"All right, now let's go into the how we know what we know part."
708.789,713.011,How on earth did scientists figure this out?
713.111,716.912,"Because as I mentioned in the intro, this is completely non-intuitive."
717.332,725.914,To come up with the answer that light behaves as both a particle and a wave is about the last thing that you would rationally conclude.
726.634,732.176,And it's not surprising that it took so long for scientists to get to the bottom of this or to the top of it.
733.977,735.997," So, how did they even go down this road?"
736.318,739.519,"Well, we've been arguing over it for about four hundred years."
739.919,747.642,"So, this is one of those things that made people feel queasy to their stomachs starting as early as Christian Huygens."
748.543,755.026,"He was playing with light and noticed this whole, if you shine light through a slit, you get an interference pattern."
755.046,758.487,"If you shine light through two slits, you get a different interference pattern."
759.127,759.868,And it's just cool.
761.008,763.65, And it can only be explained with waves.
764.03,764.171,Right.
764.191,765.331,"And so I guess he said, that's it."
765.391,765.972,Case closed.
766.052,766.532,It's waves.
